timestamp,water_level_m,discharge_m3s,sediment_kgm3,observed_sediment
2016-01-01,42.69283018867925,332.66037735849056,0.9486700248076169,32
2016-02-01,42.4954,275.865,1.038631778270392,29
2016-03-01,42.91474885844749,623.5936073059361,1.993866803085732,31
2016-04-01,42.91150837988827,626.9385474860335,1.5643364042363683,30
2016-05-01,42.4611320754717,397.5974842767296,0.7001259947048766,32
2016-06-01,42.44834951456311,448.81553398058253,0.8515892749323848,32
2016-07-01,42.910721153846154,928.9855769230769,2.058200186583119,31
2016-08-01,42.83116822429907,562.3785046728972,1.0022765380410708,32
2016-09-01,42.45205128205128,284.53846153846155,0.41763718213523826,30
2016-10-01,42.47720207253886,365.6373056994819,0.757533025134708,32
2016-11-01,42.60767326732673,355.84158415841586,0.7268765868847136,30
2016-12-01,42.32432291666667,247.69791666666666,0.48159181195502665,31
2017-01-01,42.020187500000006,194.375,0.47854592550235847,33
2017-02-01,42.26679245283019,295.59119496855345,0.7747275527813716,28
2017-03-01,42.749786096256685,527.1711229946524,1.3109631285790195,31
2017-04-01,42.99580110497237,799.4530386740331,1.9403881260501286,30
2017-05-01,42.689251336898394,665.8342245989305,1.1626165222916764,32
2017-06-01,42.65513812154696,671.9116022099447,1.2403768079948732,30
2017-07-01,42.40010695187166,466.63101604278074,0.8569076860349745,31
2017-08-01,42.323989361702125,411.02127659574467,0.7491269703832397,31
2017-09-01,42.03653846153846,240.28021978021977,0.4756643176723362,30
2017-10-01,42.32298429319372,398.6125654450262,0.9928233327934435,32
2017-11-01,42.67217391304348,587.3315217391304,1.3481108536802966,31
2017-12-01,42.89787439613527,577.6328502415458,1.4105098533826224,32
2018-01-01,42.65802030456853,409.1472081218274,0.9095558119226667,32
2018-02-01,42.77659420289855,489.3152173913044,1.5144751382721584,28
2018-03-01,42.79172131147541,688.5983606557377,2.5958578423130074,32
2018-04-01,43.18474226804124,1108.860824742268,3.2704952893027865,30
2018-05-01,43.41207920792079,1342.4257425742574,3.079629374642946,32
2018-06-01,43.71866310160428,1560.48128342246,3.250305193613455,31
2018-07-01,44.59405275779377,2582.661870503597,17.73346738692162,70
2018-08-01,43.78316455696202,1828.123417721519,14.48047434003729,47
2018-09-01,44.232044025157236,2265.7987421383646,7.4861517454413296,31
2018-10-01,44.03275261324042,2002.1951219512196,5.719580639197248,34
2018-11-01,42.728425531914894,625.6553191489362,1.620810949679802,32
2018-12-01,42.585663430420716,478.8673139158576,1.0370253240608405,32
2019-01-01,42.29311224489796,340.2959183673469,0.8464653451299508,33
2019-02-01,42.91389067524116,746.6720257234726,2.357758674859595,29
2019-03-01,42.91465437788018,974.4654377880184,3.172080222874442,32
2019-04-01,43.14038043478261,1159.1847826086957,3.775968929644473,31
2019-05-01,43.20212435233161,1213.160621761658,3.9173720496853073,32
2019-06-01,44.15493788819876,2258.9378881987577,5.445478745500386,34
2019-07-01,44.6914511873351,2906.754617414248,17.412560150782944,45
2019-08-01,43.80760683760684,1898.2592592592594,13.075110761947732,36
2019-09-01,43.90214705882353,2021.15,9.98118747858697,34
2019-10-01,43.444162436548226,1418.48730964467,6.616596928169217,34
2019-11-01,42.59573770491804,554.5846994535519,1.9356196987528327,31
2019-12-01,42.50578947368421,421.61578947368423,1.323150724223643,32
2020-01-01,42.375759162303666,377.6387434554974,1.042621553400189,33
2020-02-01,42.237157894736846,392.7368421052632,1.534235909974309,22
2020-03-01,42.660788177339896,731.2955665024631,3.370889523810743,21
2020-04-01,43.15608247422681,1235.3762886597938,7.754348426643361,16
2020-05-01,43.0945918367347,1129.045918367347,5.241259729062366,15
2020-06-01,44.12556701030928,2333.577319587629,6.882437738767769,33
2020-07-01,44.71930490956072,2887.4160206718348,15.482810909675777,52
2020-08-01,44.78811634349031,3167.7285318559557,16.595597580238874,35
2020-09-01,44.341727272727276,2470.3636363636365,7.693121357199817,33
2020-10-01,43.56131221719457,1589.8099547511313,5.230452940099698,34
2020-11-01,42.828016528925616,734.3925619834711,2.213668331262741,12
2020-12-01,42.86693037974684,576.743670886076,1.4042194199876334,14
2021-01-01,42.48645933014354,391.9712918660287,0.998595215863145,13
2021-02-01,42.28211956521739,461.05434782608694,1.3791296888889255,7
2021-03-01,43.024306220095696,1036.641148325359,4.179478292029664,12
2021-04-01,42.9041798941799,948.6613756613757,3.1338688074745282,11
2021-05-01,43.51303664921466,1531.0471204188482,5.487354021387259,15
2021-06-01,44.51662878787879,2670.9469696969695,5.572668087054934,31
2021-07-01,44.151440443213296,2200.880886426593,9.68381931644548,47
2021-08-01,42.5875,640.3882978723404,1.2966158309082643,32
2021-09-01,44.2417125382263,2370.886850152905,5.460990657085053,31
2021-10-01,45.67089974293059,4053.1876606683804,6.430019062515713,33
2021-11-01,43.747150000000005,1792.35,4.397428372228687,12
2021-12-01,43.04149484536082,1036.0257731958764,2.3848663242459245,13
